label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2
FOMC Stmt -> UST2Y [fwd/curr],UST2Y,net_score_curr,C,0.004837939202117211,0.020910114986292902,0.8172316885851536,242,0.19332273494913343
FOMC Stmt -> UST10Y [fwd/curr],UST10Y,net_score_fwd,A,-0.0034924889281331335,0.015936086481300456,0.8267163603659713,242,0.02259806116847829
FOMC Stmt -> UST10Y [fwd/curr],UST10Y,net_score_curr,A,0.008532155521760502,0.013148673061948224,0.5170295724461165,242,0.02259806116847829
FOMC Stmt -> UST10Y [fwd/curr],UST10Y,net_score_fwd,B,-0.0017113932105527452,0.0155605210826035,0.9125166996775279,242,0.025711484401163
FOMC Stmt -> UST10Y [fwd/curr],UST10Y,net_score_curr,B,0.005892865591711269,0.013508398352655592,0.6630651503043843,242,0.025711484401163
FOMC Stmt -> UST10Y [fwd/curr],UST10Y,net_score_fwd,C,-0.012877411607788172,0.017862033829728712,0.4716706336761247,242,0.03324227836007976
FOMC Stmt -> UST10Y [fwd/curr],UST10Y,net_score_curr,C,5.15603053514762e-4,0.015528995202267394,0.9735414478752211,242,0.03324227836007976
FOMC Stmt -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,A,0.008809729688040268,0.02413891888762273,0.715589936843813,176,0.032043220469945344
FOMC Stmt -> TIPS5Y [fwd/curr],TIPS5Y,net_score_curr,A,-0.013598380712485139,0.019294062828011087,0.4818903838709142,176,0.032043220469945344
FOMC Stmt -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,B,0.009915524379540182,0.026367799987703545,0.7073538092325349,176,0.03716290415788426
FOMC Stmt -> TIPS5Y [fwd/curr],TIPS5Y,net_score_curr,B,-0.013903688922774923,0.01955358320101606,0.4780298703032487,176,0.03716290415788426
FOMC Stmt -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,C,0.001146234960834332,0.029466614400827408,0.9690170216547997,176,0.04493645903409982
FOMC Stmt -> TIPS5Y [fwd/curr],TIPS5Y,net_score_curr,C,-0.02855447808594718,0.02092074156805658,0.1741241885313099,176,0.04493645903409982
FOMC Stmt -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,A,-0.008656710735978013,0.018883752153866104,0.6472286103213796,176,0.02130630504446618
FOMC Stmt -> TIPS10Y [fwd/curr],TIPS10Y,net_score_curr,A,0.01354753562134036,0.01440230294798073,0.34820310952275124,176,0.02130630504446618
FOMC Stmt -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,B,-0.00799976244237122,0.019505831784382553,0.6822361981858929,176,0.02635703718224358
FOMC Stmt -> TIPS10Y [fwd/curr],TIPS10Y,net_score_curr,B,0.013020257244931211,0.01462865153071697,0.374703347952962,176,0.02635703718224358
FOMC Stmt -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,C,-0.014480179080273358,0.022102020647623496,0.5132714344007883,176,0.030970764309633858
FOMC Stmt -> TIPS10Y [fwd/curr],TIPS10Y,net_score_curr,C,0.004244260441986714,0.015699071664962025,0.787224016620802,176,0.030970764309633858
FOMC PC -> SP500 [fwd/curr],SP500,net_score_fwd,A,-0.46315681100263995,0.7105929439618396,0.5162553684980349,91,0.05489748200638589
FOMC PC -> SP500 [fwd/curr],SP500,net_score_curr,A,0.9393086634432658,0.7738870529739558,0.2281263551332896,91,0.05489748200638589
FOMC PC -> SP500 [fwd/curr],SP500,net_score_fwd,B,-0.4085542072737703,0.6764342308783985,0.5474641318477517,91,0.08854047365585516
FOMC PC -> SP500 [fwd/curr],SP500,net_score_curr,B,1.2304302192640328,0.9423472515839741,0.1951748391231239,91,0.08854047365585516
FOMC PC -> SP500 [fwd/curr],SP500,net_score_fwd,C,-0.40781795133825266,0.686851390475047,0.5542749704212062,91,0.0885422668651834
FOMC PC -> SP500 [fwd/curr],SP500,net_score_curr,C,1.2255078842557479,1.0178598202193747,0.2319696353779295,91,0.0885422668651834
FOMC PC -> EURUSD [fwd/curr],EURUSD,net_score_fwd,A,0.427994066036536,0.19872187323241425,0.03402682776176887,91,0.08950620617975835
FOMC PC -> EURUSD [fwd/curr],EURUSD,net_score_curr,A,-0.11247214453994653,0.13087716406860142,0.3924971810171579,91,0.08950620617975835
FOMC PC -> EURUSD [fwd/curr],EURUSD,net_score_fwd,B,0.46072979056823726,0.21372576355532524,0.033933222416208025,91,0.10470192834775771
FOMC PC -> EURUSD [fwd/curr],EURUSD,net_score_curr,B,-0.12467658962844828,0.13470814918237461,0.3573099735265961,91,0.10470192834775771
FOMC PC -> EURUSD [fwd/curr],EURUSD,net_score_fwd,C,0.44165956367857095,0.21582355445684107,0.043844935456045196,91,0.11685644179741517
FOMC PC -> EURUSD [fwd/curr],EURUSD,net_score_curr,C,0.00281989753921073,0.1950293778507672,0.9884982074549297,91,0.11685644179741517
FOMC PC -> DXY [fwd/curr],DXY,net_score_fwd,A,-0.43008369533686847,0.19888002866979726,0.033321574400653746,91,0.09251191495367728
FOMC PC -> DXY [fwd/curr],DXY,net_score_curr,A,0.1262861157118035,0.1278905585214947,0.3261581718971206,91,0.09251191495367728
FOMC PC -> DXY [fwd/curr],DXY,net_score_fwd,B,-0.46227209179486684,0.21375329625563735,0.03337767163320487,91,0.10666957974101765
FOMC PC -> DXY [fwd/curr],DXY,net_score_curr,B,0.1322526641034433,0.13036374377652493,0.3132282514098089,91,0.10666957974101765
FOMC PC -> DXY [fwd/curr],DXY,net_score_fwd,C,-0.4470872677812912,0.2159030684536472,0.04144957365930683,91,0.11489912793163803
FOMC PC -> DXY [fwd/curr],DXY,net_score_curr,C,0.030732544222802836,0.18358642692342553,0.8674569225422828,91,0.11489912793163803
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_fwd,A,-0.05882980040102977,0.03486289128208649,0.09509685110771075,91,0.06896109550859297
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_curr,A,0.019224468199459763,0.025288336157815356,0.4491838284769022,91,0.06896109550859297
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_fwd,B,-0.06226206177017285,0.03685310412461296,0.09479517177112999,91,0.07923164914381742
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_curr,B,0.022346493091213147,0.029294371462647045,0.44767934687454747,91,0.07923164914381742
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_fwd,C,-0.06282602968647773,0.037477198685629674,0.09738197977859224,91,0.07969740627450606
FOMC PC -> UST2Y [fwd/curr],UST2Y,net_score_curr,C,0.02611697409388578,0.032948521713657454,0.430209034560012,91,0.07969740627450606
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_fwd,A,-0.07290732589034005,0.03180142314953296,0.024284761520812485,91,0.08715256899035917
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_curr,A,0.053512875955813076,0.03268552983741927,0.10520020343382185,91,0.08715256899035917
