label_a,label_b,n,corpus,label_a_name,label_b_name,total,agreement
dovish,neutral,10,ECB stmt,dict,BERT,276,0.855
hawkish,dovish,2,ECB stmt,dict,BERT,276,0.855
neutral,dovish,6,ECB stmt,dict,BERT,276,0.855
dovish,dovish,45,ECB stmt,dict,BERT,276,0.855
hawkish,hawkish,14,ECB stmt,RF,BERT,275,0.633
neutral,hawkish,14,ECB stmt,RF,BERT,275,0.633
dovish,hawkish,0,ECB stmt,RF,BERT,275,0.633
hawkish,neutral,7,ECB stmt,RF,BERT,275,0.633
neutral,neutral,152,ECB stmt,RF,BERT,275,0.633
dovish,neutral,35,ECB stmt,RF,BERT,275,0.633
hawkish,dovish,3,ECB stmt,RF,BERT,275,0.633
neutral,dovish,42,ECB stmt,RF,BERT,275,0.633
dovish,dovish,8,ECB stmt,RF,BERT,275,0.633
hawkish,hawkish,5,ECB stmt,dict,rate,284,0.63
neutral,hawkish,20,ECB stmt,dict,rate,284,0.63
dovish,hawkish,2,ECB stmt,dict,rate,284,0.63
hawkish,neutral,1,ECB stmt,dict,rate,284,0.63
neutral,neutral,167,ECB stmt,dict,rate,284,0.63
dovish,neutral,59,ECB stmt,dict,rate,284,0.63
hawkish,dovish,2,ECB stmt,dict,rate,284,0.63
neutral,dovish,21,ECB stmt,dict,rate,284,0.63
dovish,dovish,7,ECB stmt,dict,rate,284,0.63
hawkish,hawkish,15,ECB stmt,RF,rate,275,0.887
neutral,hawkish,0,ECB stmt,RF,rate,275,0.887
dovish,hawkish,12,ECB stmt,RF,rate,275,0.887
hawkish,neutral,5,ECB stmt,RF,rate,275,0.887
neutral,neutral,206,ECB stmt,RF,rate,275,0.887
dovish,neutral,8,ECB stmt,RF,rate,275,0.887
hawkish,dovish,4,ECB stmt,RF,rate,275,0.887
neutral,dovish,2,ECB stmt,RF,rate,275,0.887
dovish,dovish,23,ECB stmt,RF,rate,275,0.887
hawkish,hawkish,13,ECB stmt,BERT,rate,276,0.67
neutral,hawkish,14,ECB stmt,BERT,rate,276,0.67
dovish,hawkish,0,ECB stmt,BERT,rate,276,0.67
hawkish,neutral,14,ECB stmt,BERT,rate,276,0.67
neutral,neutral,162,ECB stmt,BERT,rate,276,0.67
dovish,neutral,43,ECB stmt,BERT,rate,276,0.67
hawkish,dovish,1,ECB stmt,BERT,rate,276,0.67
neutral,dovish,19,ECB stmt,BERT,rate,276,0.67
dovish,dovish,10,ECB stmt,BERT,rate,276,0.67
hawkish,hawkish,2,ECB stmt,dict,MP1surprise,253,0.352
neutral,hawkish,67,ECB stmt,dict,MP1surprise,253,0.352
dovish,hawkish,15,ECB stmt,dict,MP1surprise,253,0.352
hawkish,neutral,1,ECB stmt,dict,MP1surprise,253,0.352
neutral,neutral,84,ECB stmt,dict,MP1surprise,253,0.352
dovish,neutral,35,ECB stmt,dict,MP1surprise,253,0.352
hawkish,dovish,3,ECB stmt,dict,MP1surprise,253,0.352
neutral,dovish,43,ECB stmt,dict,MP1surprise,253,0.352
dovish,dovish,3,ECB stmt,dict,MP1surprise,253,0.352
hawkish,hawkish,10,ECB stmt,RF,MP1surprise,252,0.52
neutral,hawkish,62,ECB stmt,RF,MP1surprise,252,0.52
dovish,hawkish,11,ECB stmt,RF,MP1surprise,252,0.52
hawkish,neutral,5,ECB stmt,RF,MP1surprise,252,0.52
neutral,neutral,106,ECB stmt,RF,MP1surprise,252,0.52
dovish,neutral,9,ECB stmt,RF,MP1surprise,252,0.52
hawkish,dovish,6,ECB stmt,RF,MP1surprise,252,0.52
neutral,dovish,28,ECB stmt,RF,MP1surprise,252,0.52
dovish,dovish,15,ECB stmt,RF,MP1surprise,252,0.52
hawkish,hawkish,10,ECB stmt,BERT,MP1surprise,253,0.395
neutral,hawkish,62,ECB stmt,BERT,MP1surprise,253,0.395
dovish,hawkish,12,ECB stmt,BERT,MP1surprise,253,0.395
hawkish,neutral,12,ECB stmt,BERT,MP1surprise,253,0.395
neutral,neutral,87,ECB stmt,BERT,MP1surprise,253,0.395
dovish,neutral,21,ECB stmt,BERT,MP1surprise,253,0.395
hawkish,dovish,4,ECB stmt,BERT,MP1surprise,253,0.395
neutral,dovish,42,ECB stmt,BERT,MP1surprise,253,0.395
dovish,dovish,3,ECB stmt,BERT,MP1surprise,253,0.395
hawkish,hawkish,27,ECB PC,dict,RF,250,0.192
neutral,hawkish,4,ECB PC,dict,RF,250,0.192
dovish,hawkish,2,ECB PC,dict,RF,250,0.192
hawkish,neutral,83,ECB PC,dict,RF,250,0.192
neutral,neutral,6,ECB PC,dict,RF,250,0.192
dovish,neutral,96,ECB PC,dict,RF,250,0.192
hawkish,dovish,13,ECB PC,dict,RF,250,0.192
neutral,dovish,4,ECB PC,dict,RF,250,0.192
dovish,dovish,15,ECB PC,dict,RF,250,0.192
hawkish,hawkish,34,ECB PC,dict,BERT,266,0.511
neutral,hawkish,1,ECB PC,dict,BERT,266,0.511
dovish,hawkish,5,ECB PC,dict,BERT,266,0.511
hawkish,neutral,31,ECB PC,dict,BERT,266,0.511
neutral,neutral,6,ECB PC,dict,BERT,266,0.511
dovish,neutral,14,ECB PC,dict,BERT,266,0.511
hawkish,dovish,69,ECB PC,dict,BERT,266,0.511
neutral,dovish,10,ECB PC,dict,BERT,266,0.511
dovish,dovish,96,ECB PC,dict,BERT,266,0.511
hawkish,hawkish,13,ECB PC,RF,BERT,250,0.296
neutral,hawkish,22,ECB PC,RF,BERT,250,0.296
dovish,hawkish,2,ECB PC,RF,BERT,250,0.296
hawkish,neutral,9,ECB PC,RF,BERT,250,0.296
neutral,neutral,35,ECB PC,RF,BERT,250,0.296
dovish,neutral,4,ECB PC,RF,BERT,250,0.296
hawkish,dovish,11,ECB PC,RF,BERT,250,0.296
neutral,dovish,128,ECB PC,RF,BERT,250,0.296
dovish,dovish,26,ECB PC,RF,BERT,250,0.296
hawkish,hawkish,24,ECB PC,dict,rate,250,0.204
neutral,hawkish,0,ECB PC,dict,rate,250,0.204
dovish,hawkish,0,ECB PC,dict,rate,250,0.204
hawkish,neutral,91,ECB PC,dict,rate,250,0.204
neutral,neutral,10,ECB PC,dict,rate,250,0.204
dovish,neutral,96,ECB PC,dict,rate,250,0.204
hawkish,dovish,8,ECB PC,dict,rate,250,0.204
neutral,dovish,4,ECB PC,dict,rate,250,0.204
dovish,dovish,17,ECB PC,dict,rate,250,0.204
hawkish,hawkish,20,ECB PC,RF,rate,250,0.896
neutral,hawkish,1,ECB PC,RF,rate,250,0.896
dovish,hawkish,3,ECB PC,RF,rate,250,0.896
hawkish,neutral,10,ECB PC,RF,rate,250,0.896
neutral,neutral,181,ECB PC,RF,rate,250,0.896
dovish,neutral,6,ECB PC,RF,rate,250,0.896
hawkish,dovish,3,ECB PC,RF,rate,250,0.896
neutral,dovish,3,ECB PC,RF,rate,250,0.896
dovish,dovish,23,ECB PC,RF,rate,250,0.896
hawkish,hawkish,10,ECB PC,BERT,rate,250,0.3
neutral,hawkish,10,ECB PC,BERT,rate,250,0.3
dovish,hawkish,4,ECB PC,BERT,rate,250,0.3
hawkish,neutral,27,ECB PC,BERT,rate,250,0.3
neutral,neutral,37,ECB PC,BERT,rate,250,0.3
dovish,neutral,133,ECB PC,BERT,rate,250,0.3
hawkish,dovish,0,ECB PC,BERT,rate,250,0.3
neutral,dovish,1,ECB PC,BERT,rate,250,0.3
dovish,dovish,28,ECB PC,BERT,rate,250,0.3
hawkish,hawkish,39,ECB PC,dict,MP1surprise,243,0.284
neutral,hawkish,2,ECB PC,dict,MP1surprise,243,0.284
dovish,hawkish,22,ECB PC,dict,MP1surprise,243,0.284
hawkish,neutral,41,ECB PC,dict,MP1surprise,243,0.284
neutral,neutral,6,ECB PC,dict,MP1surprise,243,0.284
dovish,neutral,64,ECB PC,dict,MP1surprise,243,0.284
hawkish,dovish,40,ECB PC,dict,MP1surprise,243,0.284
neutral,dovish,5,ECB PC,dict,MP1surprise,243,0.284
dovish,dovish,24,ECB PC,dict,MP1surprise,243,0.284
hawkish,hawkish,11,ECB PC,RF,MP1surprise,231,0.485
neutral,hawkish,35,ECB PC,RF,MP1surprise,231,0.485
dovish,hawkish,8,ECB PC,RF,MP1surprise,231,0.485
hawkish,neutral,11,ECB PC,RF,MP1surprise,231,0.485
neutral,neutral,91,ECB PC,RF,MP1surprise,231,0.485
dovish,neutral,7,ECB PC,RF,MP1surprise,231,0.485
hawkish,dovish,10,ECB PC,RF,MP1surprise,231,0.485
neutral,dovish,48,ECB PC,RF,MP1surprise,231,0.485
dovish,dovish,10,ECB PC,RF,MP1surprise,231,0.485
hawkish,hawkish,13,ECB PC,BERT,MP1surprise,243,0.3
neutral,hawkish,11,ECB PC,BERT,MP1surprise,243,0.3
dovish,hawkish,39,ECB PC,BERT,MP1surprise,243,0.3
hawkish,neutral,11,ECB PC,BERT,MP1surprise,243,0.3
neutral,neutral,21,ECB PC,BERT,MP1surprise,243,0.3
dovish,neutral,79,ECB PC,BERT,MP1surprise,243,0.3
hawkish,dovish,15,ECB PC,BERT,MP1surprise,243,0.3
neutral,dovish,15,ECB PC,BERT,MP1surprise,243,0.3
dovish,dovish,39,ECB PC,BERT,MP1surprise,243,0.3
