label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print,significant_10
ECB Stmt -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,C,0.01292917051668196,2.5049106316692256,0.9958860923525296,244,0.23739968101668377,,0.0129,(2.5049),FALSE
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,A,0.8057869875599571,0.3760677346714506,0.03310988131315647,253,0.2097154302760873,**,0.8058**,(0.3761),TRUE
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_fwd,A,-0.47773944433122983,0.23485800274341295,0.04299513361304589,253,0.2097154302760873,**,-0.4777**,(0.2349),TRUE
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,B,0.8500594516919785,0.37503302672810257,0.0242820595000234,253,0.22363726368782477,**,0.8501**,(0.3750),TRUE
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_fwd,B,-0.33613923193880463,0.24888825836173115,0.17807658699452067,253,0.22363726368782477,,-0.3361,(0.2489),FALSE
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,C,0.8331602035562881,0.3752255307562896,0.02730909814830742,253,0.23401891497948957,**,0.8332**,(0.3752),TRUE
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_fwd,C,-0.4556523521329291,0.2251173082397259,0.04405310015049742,253,0.23401891497948957,**,-0.4557**,(0.2251),TRUE
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,A,1.2254023205812474,0.735576921846098,0.0969895543376888,253,0.08958048226939364,*,1.2254*,(0.7356),TRUE
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_fwd,A,-0.8412479456850591,0.4435877440926458,0.05905625342044796,253,0.08958048226939364,*,-0.8412*,(0.4436),TRUE
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_curr,B,1.3100218673043773,0.7480871929200268,0.0811643590394769,253,0.10357733956027926,*,1.3100*,(0.7481),TRUE
ECB Stmt -> SX7E [fwd/curr],SX7E,net_score_fwd,B,-0.5936390986973018,0.4238601914559213,0.16260754148780185,253,0.10357733956027926,,-0.5936,(0.4239),FALSE
