corpus,outcome,score,method,control,n,coef,se,t,p,stars,coef_print,se_print,r2,adj_r2,status,missing
FOMC press conferences,UST10Y,net_score,Dictionary,MP1,91,0.0012383877751099097,0.01840295150214803,0.06729288913060291,0.9465011949877061,,0.0012,(0.0184),0.0011688976762559958,-0.021531809194738294,ok,NA
FOMC press conferences,UST10Y,rf_score,Random Forest,MP1,91,-0.019570264676259434,0.00934586827403213,-2.0940017666027027,0.03913602375240571,**,-0.0196**,(0.0093),0.035122853511845055,0.01319382745529607,ok,NA
FOMC press conferences,UST10Y,bert_score,RoBERTa/BERT,MP1,91,-0.051059244428553405,0.02813062053813497,-1.8150770744404836,0.07291873472930391,*,-0.0511*,(0.0281),0.025024956800617823,0.0028664330915408875,ok,NA
FOMC press conferences,UST30Y,net_score,Dictionary,MP1,91,-1.455044783179433e-4,0.00867402601086318,-0.016774733916605316,0.9866543006134427,,-0.0001,(0.0087),0.014166965187965072,-0.008238331057762949,ok,NA
FOMC press conferences,UST30Y,rf_score,Random Forest,MP1,91,-0.009250235480269679,0.005351859158720192,-1.7284153423950936,0.0874210780616028,*,-0.0093*,(0.0054),0.04451004500434003,0.022794364208984175,ok,NA
FOMC press conferences,UST30Y,bert_score,RoBERTa/BERT,MP1,91,-0.026400375306322707,0.017211416600464113,-1.5338874143346697,0.12864487619574727,,-0.0264,(0.0172),0.03970426332695633,0.017879360220750762,ok,NA
FOMC press conferences,TIPS5Y,net_score,Dictionary,MP1,91,-0.030859902704718008,0.02425231321266379,-1.272451927950689,0.20656448474350397,,-0.0309,(0.0243),0.029426019947192048,0.007367520400537342,ok,NA
FOMC press conferences,TIPS5Y,rf_score,Random Forest,MP1,91,-0.04830983556704767,0.016002966498023102,-3.018805017995603,0.0033197680146849974,***,-0.0483***,(0.0160),0.11275893321900683,0.09259436351943884,ok,NA
FOMC press conferences,TIPS5Y,bert_score,RoBERTa/BERT,MP1,91,-0.08671459029572845,0.04508225557349015,-1.9234749724172957,0.0576534300766832,*,-0.0867*,(0.0451),0.03810708000093911,0.01624587727368776,ok,NA
FOMC press conferences,TIPS10Y,net_score,Dictionary,MP1,91,-0.019332890975579203,0.019100752736933096,-1.0121533555165731,0.3142396302335038,,-0.0193,(0.0191),0.01853907023002863,-0.0037668599920162027,ok,NA
FOMC press conferences,TIPS10Y,rf_score,Random Forest,MP1,91,-0.03351776085736553,0.010829585883973774,-3.0950177796703184,0.002638910010702273,***,-0.0335***,(0.0108),0.08858003434748951,0.06786594421902337,ok,NA
FOMC press conferences,TIPS10Y,bert_score,RoBERTa/BERT,MP1,91,-0.07622468714984286,0.03187570547299389,-2.3913098084816613,0.01891863096253292,**,-0.0762**,(0.0319),0.04739383648683536,0.0257436964069907,ok,NA
ECB statements,SX5E,net_score,Dictionary,OIS_MP1,253,-0.08172304850522749,0.10877714617190541,-0.7512887714123047,0.4531855129768909,,-0.0817,(0.1088),0.17817786767030705,0.17160329061166957,ok,NA
ECB statements,SX5E,rf_score,Random Forest,OIS_MP1,252,0.3712668827861224,0.1690332018021013,2.196413951980806,0.0289846270375924,**,0.3713**,(0.1690),0.20839106855482342,0.2020327638845809,ok,NA
ECB statements,SX5E,bert_score,RoBERTa/BERT,OIS_MP1,253,-0.04248178184010726,0.3503084487707035,-0.12126964676182836,0.9035748743088409,,-0.0425,(0.3503),0.1763750838995777,0.16978608457077426,ok,NA
ECB statements,SX7E,net_score,Dictionary,OIS_MP1,253,-0.22137311290996375,0.22882983516736333,-0.9674136798991013,0.33427221048157196,,-0.2214,(0.2288),0.05700499310633162,0.049461033051182324,ok,NA
ECB statements,SX7E,rf_score,Random Forest,OIS_MP1,252,0.7474394966934481,0.33315448086644917,2.2435222685570673,0.025742764901530345,**,0.7474**,(0.3332),0.1020538271502252,0.09484140809119068,ok,NA
ECB statements,SX7E,bert_score,RoBERTa/BERT,OIS_MP1,253,0.18834022115116708,0.6144080183122431,0.3065393281626287,0.7594491879049343,,0.1883,(0.6144),0.05215326328242503,0.044570489388684464,ok,NA
ECB statements,EURUSD,net_score,Dictionary,OIS_MP1,253,0.05970821815199473,0.07441476132179292,0.8023706196381863,0.42310067777056815,,0.0597,(0.0744),0.00438503123047591,-0.0035798885196802743,ok,NA
ECB statements,EURUSD,rf_score,Random Forest,OIS_MP1,252,-0.027956645961762516,0.12694206810635528,-0.22023153064073078,0.8258712971181704,,-0.0280,(0.1269),0.0018209448905825367,-0.006196557560095739,ok,NA
ECB statements,EURUSD,bert_score,RoBERTa/BERT,OIS_MP1,253,-0.0440726821707539,0.2490032725279779,-0.17699639736984546,0.8596545289964042,,-0.0441,(0.2490),0.00203870801185257,-0.005944982324052717,ok,NA
ECB statements,OIS_MP2,net_score,Dictionary,OIS_MP1,244,-0.4036160386253489,0.7444468231550616,-0.5421690657698989,0.5882029923949086,,-0.4036,(0.7444),0.21025315696501604,0.20369924125518213,ok,NA
