corpus,central_bank,document_type,meeting_date,event_id,source,is_scheduled,is_fomc_intermeeting
ECB Press Conference,ECB,Press Conference,2009-12-03,ecb_pressconf_20091203,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-01-14,ecb_pressconf_20100114,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-02-04,ecb_pressconf_20100204,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-03-04,ecb_pressconf_20100304,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-04-08,ecb_pressconf_20100408,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-05-06,ecb_pressconf_20100506,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-06-10,ecb_pressconf_20100610,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-07-08,ecb_pressconf_20100708,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-08-05,ecb_pressconf_20100805,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-09-02,ecb_pressconf_20100902,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-10-07,ecb_pressconf_20101007,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-11-04,ecb_pressconf_20101104,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2010-12-02,ecb_pressconf_20101202,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-01-13,ecb_pressconf_20110113,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-02-03,ecb_pressconf_20110203,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-03-03,ecb_pressconf_20110303,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-04-07,ecb_pressconf_20110407,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-05-05,ecb_pressconf_20110505,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-06-09,ecb_pressconf_20110609,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-07-07,ecb_pressconf_20110707,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-08-04,ecb_pressconf_20110804,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-09-08,ecb_pressconf_20110908,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-10-06,ecb_pressconf_20111006,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-11-03,ecb_pressconf_20111103,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2011-12-08,ecb_pressconf_20111208,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-01-12,ecb_pressconf_20120112,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-02-09,ecb_pressconf_20120209,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-03-08,ecb_pressconf_20120308,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-05-03,ecb_pressconf_20120503,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-07-05,ecb_pressconf_20120705,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-08-02,ecb_pressconf_20120802,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-09-06,ecb_pressconf_20120906,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2012-10-04,ecb_pressconf_20121004,ecb_press_conferences,TRUE,FALSE
