corpus_long,meeting_date,rate_label,net_score,comparison_score,other_score,comparison
FOMC statements,2009-01-28,neutral,-0.2307692307692308,rf_score,-0.03168127373012017,Dictionary vs Random Forest
FOMC statements,2009-01-28,neutral,-0.2307692307692308,bert_score,-0.23809523809523808,Dictionary vs RoBERTa/BERT
FOMC statements,2009-03-18,neutral,-0.2307692307692308,rf_score,0.00601174457929411,Dictionary vs Random Forest
FOMC statements,2009-03-18,neutral,-0.2307692307692308,bert_score,-0.23809523809523808,Dictionary vs RoBERTa/BERT
FOMC statements,2009-04-29,neutral,-0.2307692307692308,rf_score,0.02621956168627334,Dictionary vs Random Forest
FOMC statements,2009-04-29,neutral,-0.2307692307692308,bert_score,-0.2631578947368421,Dictionary vs RoBERTa/BERT
FOMC statements,2009-06-24,neutral,-0.14285714285714285,rf_score,-0.08723320943449024,Dictionary vs Random Forest
FOMC statements,2009-06-24,neutral,-0.14285714285714285,bert_score,-0.15789473684210523,Dictionary vs RoBERTa/BERT
FOMC statements,2009-08-12,neutral,-0.14285714285714285,rf_score,0.01283856890325893,Dictionary vs Random Forest
FOMC statements,2009-08-12,neutral,-0.14285714285714285,bert_score,-0.1111111111111111,Dictionary vs RoBERTa/BERT
FOMC statements,2009-09-23,neutral,-0.2,rf_score,0.02239632673361121,Dictionary vs Random Forest
FOMC statements,2009-09-23,neutral,-0.2,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2009-11-04,neutral,-0.25,rf_score,0.03305464176958477,Dictionary vs Random Forest
FOMC statements,2009-11-04,neutral,-0.25,bert_score,-0.1111111111111111,Dictionary vs RoBERTa/BERT
FOMC statements,2009-12-16,neutral,-0.25,rf_score,0.02818430575327127,Dictionary vs Random Forest
FOMC statements,2009-12-16,neutral,-0.25,bert_score,-0.3684210526315789,Dictionary vs RoBERTa/BERT
FOMC statements,2010-01-27,neutral,-0.2,rf_score,0.00261554975276779,Dictionary vs Random Forest
FOMC statements,2010-01-27,neutral,-0.2,bert_score,-0.2222222222222222,Dictionary vs RoBERTa/BERT
FOMC statements,2010-03-16,neutral,-0.25,rf_score,0.01231693682257591,Dictionary vs Random Forest
FOMC statements,2010-03-16,neutral,-0.25,bert_score,-0.15789473684210523,Dictionary vs RoBERTa/BERT
FOMC statements,2010-04-28,neutral,-0.17647058823529413,rf_score,0.00283039819883005,Dictionary vs Random Forest
FOMC statements,2010-04-28,neutral,-0.17647058823529413,bert_score,-0.125,Dictionary vs RoBERTa/BERT
FOMC statements,2010-06-23,neutral,-0.1111111111111111,rf_score,0.00474736652432019,Dictionary vs Random Forest
FOMC statements,2010-06-23,neutral,-0.1111111111111111,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2010-08-10,neutral,-0.2222222222222222,rf_score,0.03382676606854704,Dictionary vs Random Forest
