corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,2004-05-04,Aggregate net score,-0.2
FOMC statements,FOMC,2004-06-30,Policy score,0
FOMC statements,FOMC,2004-06-30,Economic score,0.06666666666666667
FOMC statements,FOMC,2004-06-30,Aggregate net score,0.04761904761904761
FOMC statements,FOMC,2004-08-10,Policy score,0
FOMC statements,FOMC,2004-08-10,Economic score,0
FOMC statements,FOMC,2004-08-10,Aggregate net score,0
FOMC statements,FOMC,2004-09-21,Policy score,0
FOMC statements,FOMC,2004-09-21,Economic score,0
FOMC statements,FOMC,2004-09-21,Aggregate net score,0
FOMC statements,FOMC,2004-11-10,Policy score,0
FOMC statements,FOMC,2004-11-10,Economic score,0
FOMC statements,FOMC,2004-11-10,Aggregate net score,0
FOMC statements,FOMC,2004-12-14,Policy score,0
FOMC statements,FOMC,2004-12-14,Economic score,0
FOMC statements,FOMC,2004-12-14,Aggregate net score,0
FOMC statements,FOMC,2005-02-02,Policy score,0
FOMC statements,FOMC,2005-02-02,Economic score,0
FOMC statements,FOMC,2005-02-02,Aggregate net score,0
FOMC statements,FOMC,2005-03-22,Policy score,0
FOMC statements,FOMC,2005-03-22,Economic score,0.14285714285714285
FOMC statements,FOMC,2005-03-22,Aggregate net score,0.1
FOMC statements,FOMC,2005-05-03,Policy score,0
FOMC statements,FOMC,2005-05-03,Economic score,0.06666666666666667
FOMC statements,FOMC,2005-05-03,Aggregate net score,0.04761904761904761
FOMC statements,FOMC,2005-06-30,Policy score,0
FOMC statements,FOMC,2005-06-30,Economic score,0
FOMC statements,FOMC,2005-06-30,Aggregate net score,0
FOMC statements,FOMC,2005-08-09,Policy score,0
FOMC statements,FOMC,2005-08-09,Economic score,0.07692307692307693
FOMC statements,FOMC,2005-08-09,Aggregate net score,0.05263157894736842
FOMC statements,FOMC,2005-09-20,Policy score,0
FOMC statements,FOMC,2005-09-20,Economic score,0.07692307692307693
FOMC statements,FOMC,2005-09-20,Aggregate net score,0.05263157894736842
FOMC statements,FOMC,2005-11-01,Policy score,0
FOMC statements,FOMC,2005-11-01,Economic score,0.07692307692307693
FOMC statements,FOMC,2005-11-01,Aggregate net score,0.05263157894736842
FOMC statements,FOMC,2005-12-13,Policy score,0.16666666666666666
FOMC statements,FOMC,2005-12-13,Economic score,0.09090909090909093
FOMC statements,FOMC,2005-12-13,Aggregate net score,0.2307692307692308
FOMC statements,FOMC,2006-01-31,Policy score,0.2307692307692308
FOMC statements,FOMC,2006-01-31,Economic score,0.09090909090909093
FOMC statements,FOMC,2006-01-31,Aggregate net score,0.2857142857142857
FOMC statements,FOMC,2006-03-28,Policy score,0.2307692307692308
FOMC statements,FOMC,2006-03-28,Economic score,0.16666666666666666
FOMC statements,FOMC,2006-03-28,Aggregate net score,0.3333333333333333
FOMC statements,FOMC,2006-05-10,Policy score,0.2307692307692308
FOMC statements,FOMC,2006-05-10,Economic score,0.16666666666666666
FOMC statements,FOMC,2006-05-10,Aggregate net score,0.3333333333333333
FOMC statements,FOMC,2006-06-29,Policy score,0.16666666666666666
FOMC statements,FOMC,2006-06-29,Economic score,0.2857142857142857
FOMC statements,FOMC,2006-06-29,Aggregate net score,0.375
FOMC statements,FOMC,2006-08-08,Policy score,0
FOMC statements,FOMC,2006-08-08,Economic score,0.2307692307692308
FOMC statements,FOMC,2006-08-08,Aggregate net score,0.2307692307692308
FOMC statements,FOMC,2006-09-20,Policy score,0
FOMC statements,FOMC,2006-09-20,Economic score,0.16666666666666666
FOMC statements,FOMC,2006-09-20,Aggregate net score,0.16666666666666666
FOMC statements,FOMC,2006-10-25,Policy score,0
FOMC statements,FOMC,2006-10-25,Economic score,0.07692307692307693
FOMC statements,FOMC,2006-10-25,Aggregate net score,0.07692307692307693
FOMC statements,FOMC,2006-12-12,Policy score,0
FOMC statements,FOMC,2006-12-12,Economic score,0.07692307692307693
FOMC statements,FOMC,2006-12-12,Aggregate net score,0.07692307692307693
FOMC statements,FOMC,2007-01-31,Policy score,0
